"Chromosome","Bin","Clone_1_strand_1","Clone_1_strand_2","Clone_2_strand_1","Clone_2_strand_2","Clone_2_strand_3","Clone_3_strand_1","Clone_3_strand_2","Clone_4_strand_1","Clone_4_strand_2"
1,178,"A","B","A","B","NA","A","B","A","B"
1,179,"A","B","A","B","NA","A","B","A","B"
1,180,"A","B","A","B","NA","A","B","A","B"
1,181,"A","B","A","B","NA","A","B","A","B"
1,182,"A","B","A","B","NA","A","B","A","B"
1,183,"A","B","A","B","NA","A","B","A","B"
1,184,"A","B","A","B","NA","A","B","A","B"
1,185,"A","B","A","B","NA","A","B","A","B"
1,186,"A","B","A","B","NA","A","B","A","B"
1,187,"A","B","A","B","NA","A","B","A","B"
1,188,"A","B","A","B","NA","A","B","A","B"
1,189,"A","B","A","B","NA","A","B","A","B"
1,190,"A","B","A","B","NA","A","B","A","B"
1,191,"A","B","A","B","NA","A","B","A","B"
1,192,"A","B","A","B","NA","A","B","A","B"
1,193,"A","B","A","B","NA","A","B","A","B"
1,194,"A","B","A","B","NA","A","B","A","B"
1,195,"A","B","A","B","NA","A","B","A","B"
1,196,"A","B","A","B","NA","A","B","A","B"
1,197,"A","B","A","B","NA","A","B","A","B"
1,198,"A","B","A","B","NA","A","B","A","B"
1,199,"A","B","A","B","NA","A","B","A","B"
1,200,"A","B","A","B","NA","A","B","A","B"
1,201,"A","B","A","B","NA","A","B","A","B"
1,202,"A","B","A","B","NA","A","B","A","B"
1,203,"A","B","A","B","NA","A","B","A","B"
1,204,"A","B","A","B","NA","A","B","A","B"
1,205,"A","B","A","B","NA","A","B","A","B"
1,206,"A","B","A","B","NA","A","B","A","B"
1,207,"A","B","A","B","NA","A","B","A","B"
1,208,"A","B","A","B","NA","A","B","A","B"
1,209,"A","B","A","B","NA","A","B","A","B"
1,210,"A","B","A","B","NA","A","B","A","B"
1,211,"A","B","A","B","NA","A","B","A","B"
1,212,"A","B","A","B","NA","A","B","A","B"
1,213,"A","B","A","B","NA","A","B","A","B"
1,214,"A","B","A","B","NA","A","B","A","B"
1,215,"A","B","A","B","NA","A","B","A","B"
1,216,"A","B","A","B","NA","A","B","A","B"
1,217,"A","B","A","B","NA","A","B","A","B"
1,218,"A","B","A","B","NA","A","B","A","B"
1,219,"A","B","A","B","NA","A","B","A","B"
1,220,"A","B","A","B","NA","A","B","A","B"
1,221,"A","B","A","B","NA","A","B","A","B"
1,222,"A","B","A","B","NA","A","B","A","B"
1,223,"A","B","A","B","NA","A","B","A","B"
1,224,"A","B","A","B","NA","A","B","A","B"
1,225,"A","B","A","B","NA","A","B","A","B"
1,226,"A","B","A","B","NA","A","B","A","B"
1,227,"A","B","A","B","NA","A","B","A","B"
1,228,"A","B","A","B","NA","A","B","A","B"
1,229,"A","B","A","B","NA","A","B","A","B"
1,230,"A","B","A","B","NA","A","B","A","B"
1,231,"A","B","A","B","NA","A","B","A","B"
1,232,"A","B","A","B","NA","A","B","A","B"
1,233,"A","B","A","B","NA","A","B","A","B"
1,234,"A","B","A","B","NA","A","B","A","B"
1,235,"A","B","A","B","NA","A","B","A","B"
1,236,"A","B","A","B","NA","A","B","A","B"
1,237,"A","B","A","B","NA","A","B","A","B"
1,238,"A","B","A","B","NA","A","B","A","B"
1,239,"A","B","A","B","NA","A","B","A","B"
1,240,"A","B","A","B","NA","A","B","A","B"
1,241,"A","B","A","B","NA","A","B","A","B"
1,242,"A","B","A","B","NA","A","B","A","B"
1,243,"A","B","A","B","NA","A","B","A","B"
1,244,"A","B","A","B","NA","A","B","A","B"
1,245,"A","B","A","B","NA","A","B","A","B"
1,246,"A","B","A","B","NA","A","B","A","B"
1,247,"A","B","A","B","NA","A","B","A","B"
1,248,"A","B","A","B","NA","A","B","A","B"
1,249,"A","B","A","B","NA","A","B","A","B"
1,250,"A","B","A","B","NA","A","B","A","B"
1,251,"A","B","A","B","NA","A","B","A","B"
1,252,"A","B","A","B","NA","A","B","A","B"
1,253,"A","B","A","B","NA","A","B","A","B"
1,254,"A","B","A","B","NA","A","B","A","B"
1,255,"A","B","A","B","NA","A","B","A","B"
1,256,"A","B","A","B","NA","A","B","A","B"
1,257,"A","B","A","B","NA","A","B","A","B"
1,258,"A","B","A","B","NA","A","B","A","B"
1,259,"A","B","A","B","NA","A","B","A","B"
1,260,"A","B","A","B","NA","A","B","A","B"
1,261,"A","B","A","B","NA","A","B","A","B"
1,262,"A","B","A","B","NA","A","B","A","B"
1,263,"A","B","A","B","NA","A","B","A","B"
1,264,"A","B","A","B","NA","A","B","A","B"
1,265,"A","B","A","B","NA","A","B","A","B"
1,266,"A","B","A","B","NA","A","B","A","B"
1,267,"A","B","A","B","NA","A","B","A","B"
1,268,"A","B","A","B","NA","A","B","A","B"
1,269,"A","B","A","B","NA","A","B","A","B"
1,270,"A","B","A","B","NA","A","B","A","B"
1,271,"A","B","A","B","NA","A","B","A","B"
1,272,"A","B","A","B","NA","A","B","A","B"
1,273,"A","B","A","B","NA","A","B","A","B"
1,274,"A","B","A","B","NA","A","B","A","B"
1,275,"A","B","A","B","NA","A","B","A","B"
1,276,"A","B","A","B","NA","A","B","A","B"
1,277,"A","B","A","B","NA","A","B","A","B"
1,278,"A","B","A","B","NA","A","B","A","B"
1,279,"A","B","A","B","NA","A","B","A","B"
1,280,"A","B","A","B","NA","A","B","A","B"
1,281,"A","B","A","B","NA","A","B","A","B"
1,282,"A","B","A","B","NA","A","B","A","B"
1,283,"A","B","A","B","NA","A","B","A","B"
1,284,"A","B","A","B","NA","A","B","A","B"
1,285,"A","B","A","B","NA","A","B","A","B"
1,286,"A","B","A","B","NA","A","B","A","B"
1,287,"A","B","A","B","NA","A","B","A","B"
1,288,"A","B","A","B","NA","A","B","A","B"
1,289,"A","B","A","B","NA","A","B","A","B"
1,290,"A","B","A","B","NA","A","B","A","B"
1,291,"A","B","A","B","NA","A","B","A","B"
1,292,"A","B","A","B","NA","A","B","A","B"
1,293,"A","B","A","B","NA","A","B","A","B"
1,294,"A","B","A","B","NA","A","B","A","B"
1,295,"A","B","A","B","NA","A","B","A","B"
1,296,"A","B","A","B","NA","A","B","A","B"
1,297,"A","B","A","B","NA","A","B","A","B"
1,298,"A","B","A","B","NA","A","B","A","B"
1,299,"A","B","A","B","NA","A","B","A","B"
1,300,"A","B","A","B","NA","A","B","A","B"
1,301,"A","B","A","B","NA","A","B","A","B"
1,302,"A","B","A","B","NA","A","B","A","B"
1,303,"A","B","A","B","NA","A","B","A","B"
1,304,"A","B","A","B","NA","A","B","A","B"
1,305,"A","B","A","B","NA","A","B","A","B"
1,306,"A","B","A","B","NA","A","B","A","B"
1,307,"A","B","A","B","NA","A","B","A","B"
1,308,"A","B","A","B","NA","A","B","A","B"
1,309,"A","B","A","B","NA","A","B","A","B"
1,310,"A","B","A","B","NA","A","B","A","B"
1,311,"A","B","A","B","NA","A","B","A","B"
1,312,"A","B","A","B","NA","A","B","A","B"
1,313,"A","B","A","B","NA","A","B","A","B"
1,314,"A","B","A","B","NA","A","B","A","B"
1,315,"A","B","A","B","NA","A","B","A","B"
1,316,"A","B","A","B","NA","A","B","A","B"
1,317,"A","B","A","B","NA","A","B","A","B"
1,318,"A","B","A","B","NA","A","B","A","B"
1,319,"A","B","A","B","NA","A","B","A","B"
1,320,"A","B","A","B","NA","A","B","A","B"
1,321,"A","B","A","B","NA","A","B","A","B"
1,322,"A","B","A","B","NA","A","B","A","B"
1,323,"A","B","A","B","NA","A","B","A","B"
1,324,"A","B","A","B","NA","A","B","A","B"
1,325,"A","B","A","B","NA","A","B","A","B"
1,326,"A","B","A","B","NA","A","B","A","B"
1,327,"A","B","A","B","NA","A","B","A","B"
1,328,"A","B","A","B","NA","A","B","A","B"
1,329,"A","B","A","B","NA","A","B","A","B"
1,330,"A","B","A","B","NA","A","B","A","B"
1,331,"A","B","A","B","NA","A","B","A","B"
1,332,"A","B","A","B","NA","A","B","A","B"
1,333,"A","B","A","B","NA","A","B","A","B"
1,334,"A","B","A","B","NA","A","B","A","B"
1,335,"A","B","A","B","NA","A","B","A","B"
1,336,"A","B","A","B","NA","A","B","A","B"
1,337,"A","B","A","B","NA","A","B","A","B"
1,338,"A","B","A","B","NA","A","B","A","B"
1,339,"A","B","A","B","NA","A","B","A","B"
1,340,"A","B","A","B","NA","A","B","A","B"
1,341,"A","B","A","B","NA","A","B","A","B"
1,342,"A","B","A","B","NA","A","B","A","B"
1,343,"A","B","A","B","NA","A","B","A","B"
1,344,"A","B","A","B","NA","A","B","A","B"
1,345,"A","B","A","B","NA","A","B","A","B"
1,346,"A","B","A","B","NA","A","B","A","B"
1,347,"A","B","A","B","NA","A","B","A","B"
1,348,"A","B","A","B","NA","A","B","A","B"
1,349,"A","B","A","B","NA","A","B","A","B"
1,350,"A","B","A","B","NA","A","B","A","B"
1,351,"A","B","A","B","NA","A","B","A","B"
1,352,"A","B","A","B","NA","A","B","A","B"
1,353,"A","B","A","B","NA","A","B","A","B"
1,354,"A","B","A","B","NA","A","B","A","B"
1,355,"A","B","A","B","NA","A","B","A","B"
1,356,"A","B","A","B","NA","A","B","A","B"
1,357,"A","B","A","B","NA","A","B","A","B"
1,358,"A","B","A","B","NA","A","B","A","B"
1,359,"A","B","A","B","NA","A","B","A","B"
1,360,"A","B","A","B","NA","A","B","A","B"
1,361,"A","B","A","B","NA","A","B","A","B"
1,362,"A","B","A","B","NA","A","B","A","B"
1,363,"A","B","A","B","NA","A","B","A","B"
1,364,"A","B","A","B","NA","A","B","A","B"
1,365,"A","B","A","B","NA","A","B","A","B"
1,366,"A","B","A","B","NA","A","B","A","B"
1,367,"A","B","A","B","NA","A","B","A","B"
1,368,"A","B","A","B","NA","A","B","A","B"
1,369,"A","B","A","B","NA","A","B","A","B"
1,370,"A","B","A","B","NA","A","B","A","B"
1,371,"A","B","A","B","NA","A","B","A","B"
1,372,"A","B","A","B","NA","A","B","A","B"
1,373,"A","B","A","B","NA","A","B","A","B"
1,374,"A","B","A","B","NA","A","B","A","B"
1,375,"A","B","A","B","NA","A","B","A","B"
1,376,"A","B","A","B","NA","A","B","A","B"
1,377,"A","B","A","B","NA","A","B","A","B"
1,378,"A","B","A","B","NA","A","B","A","B"
1,379,"A","B","A","B","NA","A","B","A","B"
1,380,"A","B","A","B","NA","A","B","A","B"
1,381,"A","B","A","B","NA","A","B","A","B"
1,382,"A","B","A","B","NA","A","B","A","B"
1,383,"A","B","A","B","NA","A","B","A","B"
1,384,"A","B","A","B","NA","A","B","A","B"
1,385,"A","B","A","B","NA","A","B","A","B"
1,386,"A","B","A","B","NA","A","B","A","B"
1,387,"A","B","A","B","NA","A","B","A","B"
1,388,"A","B","A","B","NA","A","B","A","B"
1,389,"A","B","A","B","NA","A","B","A","B"
1,390,"A","B","A","B","NA","A","B","A","B"
1,391,"A","B","A","B","NA","A","B","A","B"
1,392,"A","B","A","B","NA","A","B","A","B"
1,393,"A","B","A","B","NA","A","B","A","B"
1,394,"A","B","A","B","NA","A","B","A","B"
1,395,"A","B","A","B","NA","A","B","A","B"
1,396,"A","B","A","B","NA","A","B","A","B"
1,397,"A","B","A","B","NA","A","B","A","B"
1,398,"A","B","A","B","NA","A","B","A","B"
1,399,"A","B","A","B","NA","A","B","A","B"
1,400,"A","B","A","B","NA","A","B","A","B"
1,401,"A","B","A","B","NA","A","B","A","B"
1,402,"A","B","A","B","NA","A","B","A","B"
1,403,"A","B","A","B","NA","A","B","A","B"
1,404,"A","B","A","B","NA","A","B","A","B"
1,405,"A","B","A","B","NA","A","B","A","B"
1,406,"A","B","A","B","NA","A","B","A","B"
1,407,"A","B","A","B","NA","A","B","A","B"
1,408,"A","B","A","B","NA","A","B","A","B"
1,409,"A","B","A","B","NA","A","B","A","B"
1,410,"A","B","A","B","NA","A","B","A","B"
1,411,"A","B","A","B","NA","A","B","A","B"
1,412,"A","B","A","B","NA","A","B","A","B"
1,413,"A","B","A","B","NA","A","B","A","B"
1,414,"A","B","A","B","NA","A","B","A","B"
1,415,"A","B","A","B","NA","A","B","A","B"
1,416,"A","B","A","B","NA","A","B","A","B"
1,417,"A","B","A","B","NA","A","B","A","B"
1,418,"A","B","A","B","NA","A","B","A","B"
1,419,"A","B","A","B","NA","A","B","A","B"
1,420,"A","B","A","B","NA","A","B","A","B"
1,421,"A","B","A","B","NA","A","B","A","B"
1,422,"A","B","A","B","NA","A","B","A","B"
1,423,"A","B","A","B","NA","A","B","A","B"
1,424,"A","B","A","B","NA","A","B","A","B"
1,425,"A","B","A","B","NA","A","B","A","B"
1,426,"A","B","A","B","NA","A","B","A","B"
1,427,"A","B","A","B","NA","A","B","A","B"
1,428,"A","B","A","B","NA","A","B","A","B"
1,429,"A","B","A","B","NA","A","B","A","B"
1,430,"A","B","A","B","NA","A","B","A","B"
1,431,"A","B","A","B","NA","A","B","A","B"
1,432,"A","B","A","B","NA","A","B","A","B"
1,433,"A","B","A","B","NA","A","B","A","B"
1,434,"A","B","A","B","NA","A","B","A","B"
1,435,"A","B","A","B","NA","A","B","A","B"
1,436,"A","B","A","B","NA","A","B","A","B"
1,437,"A","B","A","B","NA","A","B","A","B"
1,438,"A","B","A","B","NA","A","B","A","B"
1,439,"A","B","A","B","NA","A","B","A","B"
1,440,"A","B","A","B","NA","A","B","A","B"
1,441,"A","B","A","B","NA","A","B","A","B"
1,442,"A","B","A","B","NA","A","B","A","B"
1,443,"A","B","A","B","NA","A","B","A","B"
1,444,"A","B","A","B","NA","A","B","A","B"
1,445,"A","B","A","B","NA","A","B","A","B"
1,446,"A","B","A","B","NA","A","B","A","B"
1,447,"A","B","A","B","NA","A","B","A","B"
1,448,"A","B","A","B","NA","A","B","A","B"
1,449,"A","B","A","B","NA","A","B","A","B"
1,450,"A","B","A","B","NA","A","B","A","B"
1,451,"A","B","A","B","NA","A","B","A","B"
1,452,"A","B","A","B","NA","A","B","A","B"
1,453,"A","B","A","B","NA","A","B","A","B"
1,454,"A","B","A","B","NA","A","B","A","B"
1,455,"A","B","A","B","NA","A","B","A","B"
1,456,"A","B","A","B","NA","A","B","A","B"
1,457,"A","B","A","B","NA","A","B","A","B"
1,458,"A","B","A","B","NA","A","B","A","B"
1,459,"A","B","A","B","NA","A","B","A","B"
1,460,"A","B","A","B","NA","A","B","A","B"
1,461,"A","B","A","B","NA","A","B","A","B"
1,462,"A","B","A","B","NA","A","B","A","B"
1,463,"A","B","A","B","NA","A","B","A","B"
1,464,"A","B","A","B","NA","A","B","A","B"
1,465,"A","B","A","B","NA","A","B","A","B"
1,466,"A","B","A","B","NA","A","B","A","B"
1,467,"A","B","A","B","NA","A","B","A","B"
1,468,"A","B","A","B","NA","A","B","A","B"
1,469,"A","B","A","B","NA","A","B","A","B"
1,470,"A","B","A","B","NA","A","B","A","B"
1,471,"A","B","A","B","NA","A","B","A","B"
1,472,"A","B","A","B","NA","A","B","A","B"
1,473,"A","B","A","B","NA","A","B","A","B"
1,474,"A","B","A","B","NA","A","B","A","B"
1,475,"A","B","A","B","NA","A","B","A","B"
1,476,"A","B","A","B","NA","A","B","A","B"
1,477,"A","B","A","B","NA","A","B","A","B"
1,478,"A","B","A","B","NA","A","B","A","B"
1,479,"A","B","A","B","NA","A","B","A","B"
1,480,"A","B","A","B","NA","A","B","A","B"
1,481,"A","B","A","B","NA","A","B","A","B"
1,482,"A","B","A","B","NA","A","B","A","B"
1,483,"A","B","A","B","NA","A","B","A","B"
1,484,"A","B","A","B","NA","A","B","A","B"
1,485,"A","B","A","B","NA","A","B","A","B"
1,486,"A","B","A","B","NA","A","B","A","B"
1,487,"A","B","A","B","NA","A","B","A","B"
1,488,"A","B","A","B","NA","A","B","A","B"
1,489,"A","B","A","B","NA","A","B","A","B"
1,490,"A","B","A","B","NA","A","B","A","B"
1,491,"A","B","A","B","NA","A","B","A","B"
1,492,"A","B","A","B","NA","A","B","A","B"
1,493,"A","B","A","B","NA","A","B","A","B"
1,494,"A","B","A","B","NA","A","B","A","B"
1,495,"A","B","A","B","NA","A","B","A","B"
1,496,"A","B","A","B","NA","A","B","A","B"
1,497,"A","B","A","B","NA","A","B","A","B"
1,498,"A","B","A","B","NA","A","B","A","B"
1,499,"A","B","A","B","NA","A","B","A","B"
2,1,"A","B","A","B","NA","A","B","A","B"
2,2,"A","B","A","B","NA","A","B","A","B"
2,3,"A","B","A","B","NA","A","B","A","B"
2,4,"A","B","A","B","NA","A","B","A","B"
2,5,"A","B","A","B","NA","A","B","A","B"
2,6,"A","B","A","B","NA","A","B","A","B"
2,7,"A","B","A","B","NA","A","B","A","B"
2,8,"A","B","A","B","NA","A","B","A","B"
2,9,"A","B","A","B","NA","A","B","A","B"
2,10,"A","B","A","B","NA","A","B","A","B"
2,11,"A","B","A","B","NA","A","B","A","B"
2,12,"A","B","A","B","NA","A","B","A","B"
2,13,"A","B","A","B","NA","A","B","A","B"
2,14,"A","B","A","B","NA","A","B","A","B"
2,15,"A","B","A","B","NA","A","B","A","B"
2,16,"A","B","A","B","NA","A","B","A","B"
2,17,"A","B","A","B","NA","A","B","A","B"
2,18,"A","B","A","B","NA","A","B","A","B"
2,19,"A","B","A","B","NA","A","B","A","B"
2,20,"A","B","A","B","NA","A","B","A","B"
2,21,"A","B","A","B","NA","A","B","A","B"
2,22,"A","B","A","B","NA","A","B","A","B"
2,23,"A","B","A","B","NA","A","B","A","B"
2,24,"A","B","A","B","NA","A","B","A","B"
2,25,"A","B","A","B","NA","A","B","A","B"
2,26,"A","B","A","B","NA","A","B","A","B"
2,27,"A","B","A","B","NA","A","B","A","B"
2,28,"A","B","A","B","NA","A","B","A","B"
2,29,"A","B","A","B","NA","A","B","A","B"
2,30,"A","B","A","B","NA","A","B","A","B"
2,31,"A","B","A","B","NA","A","B","A","B"
2,32,"A","B","A","B","NA","A","B","A","B"
2,33,"A","B","A","B","NA","A","B","A","B"
2,34,"A","B","A","B","NA","A","B","A","B"
2,35,"A","B","A","B","NA","A","B","A","B"
2,36,"A","B","A","B","NA","A","B","A","B"
2,37,"A","B","A","B","NA","A","B","A","B"
2,38,"A","B","A","B","NA","A","B","A","B"
2,39,"A","B","A","B","NA","A","B","A","B"
2,40,"A","B","A","B","NA","A","B","A","B"
2,41,"A","B","A","B","NA","A","B","A","B"
2,42,"A","B","A","B","NA","A","B","A","B"
2,43,"A","B","A","B","NA","A","B","A","B"
2,44,"A","B","A","B","NA","A","B","A","B"
2,45,"A","B","A","B","NA","A","B","A","B"
2,46,"A","B","A","B","NA","A","B","A","B"
2,47,"A","B","A","B","NA","A","B","A","B"
2,48,"A","B","A","B","NA","A","B","A","B"
2,49,"A","B","A","B","NA","A","B","A","B"
2,50,"A","B","A","B","NA","A","B","A","B"
2,51,"A","B","A","B","NA","A","B","A","B"
2,52,"A","B","A","B","NA","A","B","A","B"
